ctry_year,CAgdp,STDebt/Res,FXimp,CPI,Taxgdp,InterestRev,RGDPyy,GDPppp,GDPpc,FX,FXchg,CG_DEBT_GDP,default_amount,default,fx_grade,lc_grade,tc_rating,country,year,default_lag1,cluster,fx_numeric,rating_binary,pca1,pca2
TUN_2009,-2.83909,42.8113,5.81244,3.6649,20.0482,6.94389,3.04345,109032000000.0,4080.09,1.35027,0.09587384550456934,40.29948718915,0,0.0,BBB,A-,A-,TUN,2009,0.0,0,9.0,0,0.17992282980861005,0.004589206909607652
TUN_2010,-4.55447,50.9906,4.40578,3.33898,19.1998,6.27596,2.97113,113636000000.0,4291.86,1.4314,0.06008427944040817,38.803375818855,0,0.0,BBB,A-,A-,TUN,2010,0.0,0,9.0,0,0.17874609774582478,0.08253715046759465
TUN_2011,-7.03557,63.5733,3.30881,3.24003,20.1749,5.58253,-2.04663,113607000000.0,4420.65,1.40778,-0.016501327371803765,43.335918304217,0,0.0,BBB-,BBB,BBB,TUN,2011,0.0,0,10.0,0,0.30334403041756863,0.8323118695683961
TUN_2012,-7.86573,71.458,3.67437,4.61184,20.1155,5.60152,4.21668,116862000000.0,4297.27,1.56189,0.10947022972339426,49.040422996931,0,0.0,BB,BB,BB+,TUN,2012,0.0,0,12.0,1,-0.2718410052627297,0.5594358543520728
TUN_2013,-7.96678,87.0435,3.16319,5.31624,19.5617875,7.389615,2.42993,118896000000.0,4369.79,1.62466,0.040188489586334475,45.627926372183,5.5,1.0,NR,NR,BB+,TUN,2013,0.0,0,,1,-0.24451157855887443,0.7825747284236256
TUN_2014,-8.87795,91.3001,3.1153,4.62555,19.5617875,7.389615,3.09033,123418000000.0,4458.98,1.69768,0.044944788448044504,50.733410756135,2.42,1.0,NR,NR,BB+,TUN,2014,1.0,1,,1,-1.356470882321879,0.5184167330298147
TUN_2015,-8.57095,86.9763,3.81271,4.43737,19.5617875,7.389615,0.967703,122945000000.0,4014.95,1.96163,0.15547688610338817,52.400598477735,0.27,1.0,NR,NR,BB+,TUN,2015,1.0,1,,1,-1.6470620331431463,0.8370769930810255
TUN_2016,-8.52887,109.075,3.22322,3.6294,19.5617875,7.389615,1.11743,126742000000.0,3847.8,2.14803,0.09502301657295198,58.908008886484,0,0.0,NR,NR,BB+,TUN,2016,1.0,1,,1,-1.6033403617843747,1.0989829293582172
TUN_2017,-10.0144,121.393,3.05539,5.30885,19.5617875,7.389615,2.23784,131520000000.0,3619.03,2.41942,0.1263436730399483,67.098639659749,0,0.0,NR,NR,BB+,TUN,2017,0.0,0,,1,-0.9337755529954148,1.6990483732745687
TUN_2018,-10.7946,142.952,3.36638,7.30759,19.5617875,7.389615,2.62493,139320000000.0,3628.1,2.64687,0.094010134660373,72.908218446253,0,0.0,NR,NR,BB+,TUN,2018,0.0,0,,1,-1.080304426587321,1.8912416898246953
TUN_2019,-8.04912,144.327,4.96947,6.72008,19.5617875,7.389615,1.58785,148377000000.0,3528.87,2.93443,0.10864152754007561,67.296567926166,0,0.0,NR,NR,BB+,TUN,2019,0.0,0,,1,-0.9834585150665709,1.8276373104682686
TUN_2020,-6.266499466666667,81.77371333333333,3.842192,4.317056,19.5617875,7.389615,2.794572866666667,116136806666.66667,3933.9173333333333,1.7550673333333333,0.06036282217740788,77.707845360085,0,0.0,NR,NR,BB+,TUN,2020,0.0,0,,1,-0.5920069797007884,1.4101733380725732
TUN_2021,-6.266499466666667,81.77371333333333,3.842192,4.317056,19.5617875,7.389615,2.794572866666667,116136806666.66667,3933.9173333333333,1.7550673333333333,0.06036282217740788,79.728286683947,0,0.0,NR,NR,BB+,TUN,2021,0.0,0,,1,-0.633502052657632,1.4768869342285884
TUR_2005,-4.14367,82.9867,4.74022,8.17916,17.9485,9.056398333333334,8.9923,815103000000.0,7303.01,1.34358,-0.057494002272822975,48.794764653192,0,0.0,BB-,BB,BB+,TUR,2005,0.0,0,13.0,1,0.19956853461708357,-0.4914293608131158
TUR_2006,-5.59367,78.0023,4.80642,9.59724,17.9485,9.056398333333334,6.94799,945292000000.0,7953.08,1.42845,0.06316706113517623,43.418022366146,0,0.0,BB-,BB,BB+,TUR,2006,0.0,0,13.0,1,-0.169160222175928,-0.22392265849407025
TUR_2007,-5.4227,67.708,4.78916,8.75618,17.9485,9.056398333333334,5.04351,1043000000000.0,9711.22,1.30293,-0.08787146907487142,37.609167146344,0,0.0,BB-,BB,BB+,TUR,2007,0.0,0,13.0,1,0.3608941134336043,-0.3414192737092315
